STATE,COUNTY,FIPS,RPL_THEMES
Alabama,Autauga,1001,0.513
Alabama,Baldwin,1003,0.3103
Alabama,Barbour,1005,0.9927
Alabama,Bibb,1007,0.8078
Alabama,Blount,1009,0.5137
Alabama,Bullock,1011,0.831
Alabama,Butler,1013,0.6843
Alabama,Calhoun,1015,0.7349
Alabama,Chambers,1017,0.8074
Alabama,Cherokee,1019,0.3269
Alabama,Chilton,1021,0.7222
Alabama,Choctaw,1023,0.7116
Alabama,Clarke,1025,0.8552
Alabama,Clay,1027,0.5309
Alabama,Cleburne,1029,0.4542
Alabama,Coffee,1031,0.6489
Alabama,Colbert,1033,0.3475
Alabama,Conecuh,1035,0.6575
Alabama,Coosa,1037,0.436
Alabama,Covington,1039,0.7075
Alabama,Crenshaw,1041,0.6025
Alabama,Cullman,1043,0.5156
Alabama,Dale,1045,0.8065
Alabama,Dallas,1047,0.9157
Alabama,DeKalb,1049,0.7387
Alabama,Elmore,1051,0.4564
Alabama,Escambia,1053,0.8708
Alabama,Etowah,1055,0.6483
Alabama,Fayette,1057,0.6725
Alabama,Franklin,1059,0.7298
Alabama,Geneva,1061,0.5691
Alabama,Greene,1063,0.9513
Alabama,Hale,1065,0.9351
Alabama,Henry,1067,0.5646
Alabama,Houston,1069,0.7021
Alabama,Jackson,1071,0.5528
Alabama,Jefferson,1073,0.7562
Alabama,Lamar,1075,0.5519
Alabama,Lauderdale,1077,0.4745
Alabama,Lawrence,1079,0.4239
Alabama,Lee,1081,0.6795
Alabama,Limestone,1083,0.4602
Alabama,Lowndes,1085,0.8997
Alabama,Macon,1087,0.8896
Alabama,Madison,1089,0.3596
Alabama,Marengo,1091,0.8113
Alabama,Marion,1093,0.6833
Alabama,Marshall,1095,0.6222
Alabama,Mobile,1097,0.7947
Alabama,Monroe,1099,0.7241
Alabama,Montgomery,1101,0.9032
Alabama,Morgan,1103,0.6413
Alabama,Perry,1105,0.9137
Alabama,Pickens,1107,0.9379
Alabama,Pike,1109,0.8059
Alabama,Randolph,1111,0.5347
Alabama,Russell,1113,0.8918
Alabama,St. Clair,1115,0.3224
Alabama,Shelby,1117,0.1155
Alabama,Sumter,1119,0.9653
Alabama,Talladega,1121,0.8768
Alabama,Tallapoosa,1123,0.8927
Alabama,Tuscaloosa,1125,0.682
Alabama,Walker,1127,0.6875
Alabama,Washington,1129,0.4599
Alabama,Wilcox,1131,0.9208
Alabama,Winston,1133,0.6852
Alaska,Aleutians East,2013,0.6442
Alaska,Aleutians West,2016,0.4959
Alaska,Anchorage,2020,0.5761
Alaska,Bethel,2050,0.9542
Alaska,Bristol Bay,2060,0.2314
Alaska,Chugach,2063,0.2352
Alaska,Copper River,2066,0.4179
Alaska,Denali,2068,0.2155
Alaska,Dillingham,2070,0.9363
Alaska,Fairbanks North Star,2090,0.5264
Alaska,Haines,2100,0.5248
Alaska,Hoonah-Angoon,2105,0.5127
Alaska,Juneau City and Borough,2110,0.3526
Alaska,Kenai Peninsula,2122,0.5236
Alaska,Ketchikan Gateway,2130,0.6518
Alaska,Kodiak Island,2150,0.7667
Alaska,Kusilvak,2158,0.8988
Alaska,Lake and Peninsula,2164,0.852
Alaska,Matanuska-Susitna,2170,0.499
Alaska,Nome,2180,0.9367
Alaska,North Slope,2185,0.8555
Alaska,Northwest Arctic,2188,0.9153
Alaska,Petersburg,2195,0.6556
Alaska,Prince of Wales-Hyder,2198,0.8339
Alaska,Sitka City and Borough,2220,0.4809
Alaska,Skagway,2230,0.353
Alaska,Southeast Fairbanks,2240,0.6878
Alaska,Wrangell City and Borough,2275,0.4911
Alaska,Yakutat City and Borough,2282,0.4468
Alaska,Yukon-Koyukuk,2290,0.8657
Arizona,Apache,4001,0.965
Arizona,Cochise,4003,0.9243
Arizona,Coconino,4005,0.8259
Arizona,Gila,4007,0.8205
Arizona,Graham,4009,0.8819
Arizona,Greenlee,4011,0.3571
Arizona,La Paz,4012,0.9481
Arizona,Maricopa,4013,0.7397
Arizona,Mohave,4015,0.8695
Arizona,Navajo,4017,0.9901
Arizona,Pima,4019,0.9118
Arizona,Pinal,4021,0.8377
Arizona,Santa Cruz,4023,0.9449
Arizona,Yavapai,4025,0.6187
Arizona,Yuma,4027,0.9936
Arkansas,Arkansas,5001,0.6967
Arkansas,Ashley,5003,0.6706
Arkansas,Baxter,5005,0.3094
Arkansas,Benton,5007,0.33
Arkansas,Boone,5009,0.2909
Arkansas,Bradley,5011,0.9074
Arkansas,Calhoun,5013,0.5474
Arkansas,Carroll,5015,0.6413
Arkansas,Chicot,5017,0.9968
Arkansas,Clark,5019,0.8603
Arkansas,Clay,5021,0.4624
Arkansas,Cleburne,5023,0.2686
Arkansas,Cleveland,5025,0.2616
Arkansas,Columbia,5027,0.8609
Arkansas,Conway,5029,0.7486
Arkansas,Craighead,5031,0.788
Arkansas,Crawford,5033,0.6369
Arkansas,Crittenden,5035,0.9252
Arkansas,Cross,5037,0.8479
Arkansas,Dallas,5039,0.7355
Arkansas,Desha,5041,0.9271
Arkansas,Drew,5043,0.6324
Arkansas,Faulkner,5045,0.5185
Arkansas,Franklin,5047,0.5665
Arkansas,Fulton,5049,0.6381
Arkansas,Garland,5051,0.8902
Arkansas,Grant,5053,0.1687
Arkansas,Greene,5055,0.6493
Arkansas,Hempstead,5057,0.9102
Arkansas,Hot Spring,5059,0.641
Arkansas,Howard,5061,0.8851
Arkansas,Independence,5063,0.6824
Arkansas,Izard,5065,0.5563
Arkansas,Jackson,5067,0.6862
Arkansas,Jefferson,5069,0.944
Arkansas,Johnson,5071,0.8437
Arkansas,Lafayette,5073,0.8577
Arkansas,Lawrence,5075,0.5802
Arkansas,Lee,5077,0.9739
Arkansas,Lincoln,5079,0.3966
Arkansas,Little River,5081,0.4048
Arkansas,Logan,5083,0.5083
Arkansas,Lonoke,5085,0.3046
Arkansas,Madison,5087,0.5146
Arkansas,Marion,5089,0.444
Arkansas,Miller,5091,0.8972
Arkansas,Mississippi,5093,0.9227
Arkansas,Monroe,5095,0.8962
Arkansas,Montgomery,5097,0.5745
Arkansas,Nevada,5099,0.7441
Arkansas,Newton,5101,0.2078
Arkansas,Ouachita,5103,0.8654
Arkansas,Perry,5105,0.3857
Arkansas,Phillips,5107,0.9017
Arkansas,Pike,5109,0.5551
Arkansas,Poinsett,5111,0.739
Arkansas,Polk,5113,0.8501
Arkansas,Pope,5115,0.7607
Arkansas,Prairie,5117,0.4672
Arkansas,Pulaski,5119,0.7635
Arkansas,Randolph,5121,0.6531
Arkansas,St. Francis,5123,0.9835
Arkansas,Saline,5125,0.2947
Arkansas,Scott,5127,0.8533
Arkansas,Searcy,5129,0.3262
Arkansas,Sebastian,5131,0.8511
Arkansas,Sevier,5133,0.782
Arkansas,Sharp,5135,0.5831
Arkansas,Stone,5137,0.6951
Arkansas,Union,5139,0.7011
Arkansas,Van Buren,5141,0.7588
Arkansas,Washington,5143,0.7852
Arkansas,White,5145,0.81
Arkansas,Woodruff,5147,0.7444
Arkansas,Yell,5149,0.7346
California,Alameda,6001,0.515
California,Alpine,6003,0.5041
California,Amador,6005,0.5942
California,Butte,6007,0.8294
California,Calaveras,6009,0.324
California,Colusa,6011,0.7642
California,Contra Costa,6013,0.4736
California,Del Norte,6015,0.9462
California,El Dorado,6017,0.2266
California,Fresno,6019,0.9609
California,Glenn,6021,0.8854
California,Humboldt,6023,0.8278
California,Imperial,6025,0.9946
California,Inyo,6027,0.5293
California,Kern,6029,0.9694
California,Kings,6031,0.9459
California,Lake,6033,0.895
California,Lassen,6035,0.6353
California,Los Angeles,6037,0.8584
California,Madera,6039,0.9348
California,Marin,6041,0.3316
California,Mariposa,6043,0.83
California,Mendocino,6045,0.9561
California,Merced,6047,0.9698
California,Modoc,6049,0.7715
California,Mono,6051,0.4223
California,Monterey,6053,0.845
California,Napa,6055,0.6209
California,Nevada,6057,0.2164
California,Orange,6059,0.5621
California,Placer,6061,0.1782
California,Plumas,6063,0.3972
California,Riverside,6065,0.8297
California,Sacramento,6067,0.7673
California,San Benito,6069,0.5738
California,San Bernardino,6071,0.9058
California,San Diego,6073,0.6989
California,San Francisco,6075,0.4322
California,San Joaquin,6077,0.8864
California,San Luis Obispo,6079,0.4465
California,San Mateo,6081,0.2638
California,Santa Barbara,6083,0.8364
California,Santa Clara,6085,0.3714
California,Santa Cruz,6087,0.6139
California,Shasta,6089,0.7451
California,Sierra,6091,0.281
California,Siskiyou,6093,0.7492
California,Solano,6095,0.6311
California,Sonoma,6097,0.5076
California,Stanislaus,6099,0.8498
California,Sutter,6101,0.8619
California,Tehama,6103,0.9287
California,Trinity,6105,0.8612
California,Tulare,6107,0.9344
California,Tuolumne,6109,0.5961
California,Ventura,6111,0.6073
California,Yolo,6113,0.7307
California,Yuba,6115,0.9147
Colorado,Adams,8001,0.6894
Colorado,Alamosa,8003,0.9806
Colorado,Arapahoe,8005,0.4131
Colorado,Archuleta,8007,0.2836
Colorado,Baca,8009,0.5522
Colorado,Bent,8011,0.8119
Colorado,Boulder,8013,0.212
Colorado,Broomfield,8014,0.0691
Colorado,Chaffee,8015,0.6203
Colorado,Cheyenne,8017,0.0608
Colorado,Clear Creek,8019,0.1381
Colorado,Conejos,8021,0.8915
Colorado,Costilla,8023,0.9163
Colorado,Crowley,8025,0.824
Colorado,Custer,8027,0.0557
Colorado,Delta,8029,0.7327
Colorado,Denver,8031,0.5821
Colorado,Dolores,8033,0.0627
Colorado,Douglas,8035,0.0248
Colorado,Eagle,8037,0.3561
Colorado,Elbert,8039,0.001
Colorado,El Paso,8041,0.4895
Colorado,Fremont,8043,0.6197
