FIPS,State,County,Population,cases
"1,001",Alabama,Autauga ,58877,"8,443"
"1,003",Alabama,Baldwin ,233140,"5,248"
"1,005",Alabama,Barbour ,25180,"4,861"
"1,007",Alabama,Bibb ,22223,"2,696"
"1,009",Alabama,Blount ,59081,"3,617"
"1,011",Alabama,Bullock ,10309,"4,898"
"1,013",Alabama,Butler ,19045,"8,329"
"1,015",Alabama,Calhoun ,116266,"5,601"
"1,017",Alabama,Chambers ,34678,"8,634"
"1,019",Alabama,Cherokee ,24958,"1,449"
"1,021",Alabama,Chilton ,45024,"3,758"
"1,023",Alabama,Choctaw ,12619,"2,663"
"1,025",Alabama,Clarke ,22995,"3,825"
"1,027",Alabama,Clay ,14193,966
"1,029",Alabama,Cleburne ,15035,525
"1,031",Alabama,Coffee ,53565,"5,271"
"1,033",Alabama,Colbert ,57236,"6,004"
"1,035",Alabama,Conecuh ,11552,"2,869"
"1,037",Alabama,Coosa ,10383,801
"1,039",Alabama,Covington ,37469,"5,213"
"1,041",Alabama,Crenshaw ,13157,"1,712"
"1,043",Alabama,Cullman ,88044,"6,913"
"1,045",Alabama,Dale ,49214,"4,406"
"1,047",Alabama,Dallas ,38190,"8,200"
"1,049",Alabama,DeKalb ,71630,"8,766"
"1,051",Alabama,Elmore ,88116,"6,496"
"1,053",Alabama,Escambia ,36665,"5,490"
"1,055",Alabama,Etowah ,103393,"8,051"
"1,057",Alabama,Fayette ,16307,"1,032"
"1,059",Alabama,Franklin ,32063,"11,925"
"1,061",Alabama,Geneva ,26675,"1,148"
"1,063",Alabama,Greene ,7704,"2,468"
"1,065",Alabama,Hale ,14792,"4,346"
"1,067",Alabama,Henry ,17167,"1,868"
"1,069",Alabama,Houston ,107190,"7,234"
"1,071",Alabama,Jackson ,52519,"4,583"
"1,073",Alabama,Jefferson ,673341,0
"1,075",Alabama,Lamar ,13943,"1,077"
"1,077",Alabama,Lauderdale ,93610,"6,923"
"1,079",Alabama,Lawrence ,33063,"1,587"
"1,081",Alabama,Lee ,174601,0
"1,083",Alabama,Limestone ,104322,"7,272"
"1,085",Alabama,Lowndes ,10297,"6,249"
"1,087",Alabama,Macon ,19476,"2,700"
"1,089",Alabama,Madison ,389696,0
"1,091",Alabama,Marengo ,19264,"4,281"
"1,093",Alabama,Marion ,29287,"3,343"
"1,095",Alabama,Marshall ,97608,0
"1,097",Alabama,Mobile ,414250,0
"1,099",Alabama,Monroe ,19723,"3,229"
"1,101",Alabama,Montgomery ,228448,0
"1,103",Alabama,Morgan ,123336,0
"1,105",Alabama,Perry ,8452,"2,642"
"1,107",Alabama,Pickens ,19062,"3,266"
"1,109",Alabama,Pike ,32981,"5,947"
"1,111",Alabama,Randolph ,21971,"3,046"
"1,113",Alabama,Russell ,59226,"8,057"
"1,115",Alabama,St. Clair ,91333,"6,089"
"1,117",Alabama,Shelby ,223708,0
"1,119",Alabama,Sumter ,12295,"3,756"
"1,121",Alabama,Talladega ,82069,"4,708"
"1,123",Alabama,Tallapoosa ,41229,"8,039"
"1,125",Alabama,Tuscaloosa ,227153,0
"1,127",Alabama,Walker ,65100,"5,670"
"1,129",Alabama,Washington ,15296,"1,671"
"1,131",Alabama,Wilcox ,10518,"3,911"
"1,133",Alabama,Winston ,23491,"3,646"
"2,013",Alaska,Aleutians East Borough,3418,26
"2,016",Alaska,Aleutians West Census Area,5206,72
"2,020",Alaska,Anchorage Municipality,290637,"8,669"
"2,050",Alaska,Bethel Census Area,18648,183
"2,068",Alaska,Denali Borough,1611,13
"2,070",Alaska,Dillingham Census Area,4839,272
"2,090",Alaska,Fairbanks North Star Borough,95286,"2,764"
"2,100",Alaska,Haines Borough,2085,78
"2,110",Alaska,Juneau City and Borough,32195,682
"2,122",Alaska,Kenai Peninsula Borough,58893,"2,569"
"2,130",Alaska,Ketchikan Gateway Borough,13902,405
"2,150",Alaska,Kodiak Island Borough,13023,128
"2,158",Alaska,Kusilvak Census Area,8357,19
"2,170",Alaska,Matanuska-Susitna Borough,107460,"1,680"
"2,180",Alaska,Nome Census Area,10032,171
"2,185",Alaska,North Slope Borough,10993,57
"2,188",Alaska,Northwest Arctic Borough,7784,74
"2,195",Alaska,Petersburg Borough,3401,93
"2,198",Alaska,Prince of Wales-Hyder Census Area,5725,39
"2,220",Alaska,Sitka City and Borough,8428,234
"2,240",Alaska,Southeast Fairbanks Census Area,6831,233
"2,275",Alaska,Wrangell City and Borough,2130,104
"2,290",Alaska,Yukon-Koyukuk Census Area,5300,85
"4,001",Arizona,Apache ,65897,0
"4,003",Arizona,Cochise ,125398,"7,494"
"4,005",Arizona,Coconino ,145116,0
"4,007",Arizona,Gila ,53306,"5,018"
"4,009",Arizona,Graham ,38614,"2,206"
"4,011",Arizona,Greenlee ,9522,341
"4,012",Arizona,La Paz ,16580,"4,948"
"4,013",Arizona,Maricopa ,4438342,0
"4,015",Arizona,Mohave ,214070,0
"4,017",Arizona,Navajo ,106802,0
"4,019",Arizona,Pima ,1045599,0
"4,021",Arizona,Pinal ,429583,0
"4,023",Arizona,Santa Cruz ,47653,0
"4,025",Arizona,Yavapai ,237067,"5,496"
"4,027",Arizona,Yuma ,204437,0
"5,001",Arkansas,Arkansas ,17105,610
"5,003",Arkansas,Ashley ,18960,"1,170"
"5,005",Arkansas,Baxter ,41655,346
"5,007",Arkansas,Benton ,286353,0
"5,009",Arkansas,Boone ,37352,506
"5,011",Arkansas,Bradley ,10498,828
"5,013",Arkansas,Calhoun ,4725,28
"5,015",Arkansas,Carroll ,28202,"2,679"
"5,017",Arkansas,Chicot ,10143,"2,475"
"5,019",Arkansas,Clark ,21362,841
"5,021",Arkansas,Clay ,14508,953
"5,023",Arkansas,Cleburne ,24665,"1,559"
"5,025",Arkansas,Cleveland ,7544,413
"5,027",Arkansas,Columbia ,22741,"1,273"
"5,029",Arkansas,Conway ,20729,"1,047"
"5,031",Arkansas,Craighead ,111576,"6,641"
"5,033",Arkansas,Crawford ,60107,"3,097"
"5,035",Arkansas,Crittenden ,48067,"10,474"
"5,037",Arkansas,Cross ,16762,"1,209"
"5,039",Arkansas,Dallas ,6445,138
"5,041",Arkansas,Desha ,11330,901
"5,043",Arkansas,Drew ,17309,"1,066"
"5,045",Arkansas,Faulkner ,123666,"8,667"
"5,047",Arkansas,Franklin ,17122,369
"5,049",Arkansas,Fulton ,12033,212
"5,051",Arkansas,Garland ,100162,"3,935"
"5,053",Arkansas,Grant ,17975,662
"5,055",Arkansas,Greene ,45818,"1,754"
"5,057",Arkansas,Hempstead ,19993,912
"5,059",Arkansas,Hot Spring ,33034,"5,778"
"5,061",Arkansas,Howard ,12755,"1,534"
"5,063",Arkansas,Independence ,37892,851
"5,065",Arkansas,Izard ,13576,313
"5,067",Arkansas,Jackson ,16737,470
"5,069",Arkansas,Jefferson ,66811,"10,388"
"5,071",Arkansas,Johnson ,25692,"4,130"
"5,073",Arkansas,Lafayette ,6294,312
"5,075",Arkansas,Lawrence ,16196,"1,413"
"5,077",Arkansas,Lee ,8529,"10,505"
"5,079",Arkansas,Lincoln ,12879,0
"5,081",Arkansas,Little River ,11971,540
"5,083",Arkansas,Logan ,21097,879
"5,085",Arkansas,Lonoke ,74042,"2,356"
"5,087",Arkansas,Madison ,16551,"2,750"
"5,089",Arkansas,Marion ,16862,160
"5,091",Arkansas,Miller ,42570,"2,858"
"5,093",Arkansas,Mississippi ,40503,"3,378"
"5,095",Arkansas,Monroe ,6765,242
"5,097",Arkansas,Montgomery ,8459,85
"5,099",Arkansas,Nevada ,8284,"1,385"
"5,101",Arkansas,Newton ,7198,105
"5,103",Arkansas,Ouachita ,22592,358
"5,105",Arkansas,Perry ,9997,436
"5,107",Arkansas,Phillips ,16445,"2,136"
"5,109",Arkansas,Pike ,10165,192
"5,111",Arkansas,Poinsett ,22893,869
"5,113",Arkansas,Polk ,19182,"1,067"
"5,115",Arkansas,Pope ,63346,"7,373"
"5,117",Arkansas,Prairie ,8248,334
"5,119",Arkansas,Pulaski ,399073,0
"5,121",Arkansas,Randolph ,18581,820
"5,123",Arkansas,St. Francis ,23046,"11,563"
"5,125",Arkansas,Saline ,123681,"5,237"
"5,127",Arkansas,Scott ,9811,188
"5,129",Arkansas,Searcy ,7827,180
"5,131",Arkansas,Sebastian ,127739,"9,060"
"5,133",Arkansas,Sevier ,15778,"9,999"
"5,135",Arkansas,Sharp ,17282,792
"5,137",Arkansas,Stone ,12364,254
"5,139",Arkansas,Union ,38925,"3,416"
"5,141",Arkansas,Van Buren ,15765,451
"5,143",Arkansas,Washington ,246662,0
"5,145",Arkansas,White ,76810,"1,489"
"5,147",Arkansas,Woodruff ,6200,124
"5,149",Arkansas,Yell ,20216,"9,973"
"6,001",California,Alameda ,1679844,0
"6,003",California,Alpine ,1198,13
"6,005",California,Amador ,40541,437
"6,007",California,Butte ,210083,"3,811"
"6,009",California,Calaveras ,45327,791
"6,011",California,Colusa ,21853,"1,259"
"6,013",California,Contra Costa ,1165562,0
"6,015",California,Del Norte ,27709,756
"6,017",California,El Dorado ,191114,"3,582"
"6,019",California,Fresno ,1008966,0
"6,021",California,Glenn ,28893,"1,845"
"6,023",California,Humboldt ,136351,"2,041"
"6,025",California,Imperial ,179489,0
"6,027",California,Inyo ,19023,429
"6,029",California,Kern ,909997,0
"6,031",California,Kings ,152627,0
"6,033",California,Lake ,68174,"1,317"
"6,035",California,Lassen ,32719,"3,731"
"6,037",California,Los Angeles ,9989165,0
"6,039",California,Madera ,156620,"8,306"
"6,041",California,Marin ,261776,0
"6,043",California,Mariposa ,17124,399
"6,045",California,Mendocino ,91354,"1,397"
"6,047",California,Merced ,281726,0
"6,051",California,Mono ,13206,620
"6,053",California,Monterey ,438500,0
"6,055",California,Napa ,137608,"5,916"
"6,057",California,Nevada ,102199,"1,972"
"6,059",California,Orange ,3184101,0
"6,061",California,Placer ,405741,"7,057"
"6,063",California,Plumas ,19769,148
"6,065",California,Riverside ,2422764,0
"6,067",California,Sacramento ,1586241,0
"6,069",California,San Benito ,64507,"4,078"
"6,071",California,San Bernardino ,2182740,0
"6,073",California,San Diego ,3297252,0
"6,075",California,San Francisco ,870014,0
"6,077",California,San Joaquin ,780517,0
"6,079",California,San Luis Obispo ,282231,"8,760"
"6,081",California,San Mateo ,762453,0
"6,083",California,Santa Barbara ,448096,0
"6,085",California,Santa Clara ,1930598,0
"6,087",California,Santa Cruz ,270353,"6,577"
"6,089",California,Shasta ,181893,"2,240"
"6,091",California,Sierra ,3228,13
"6,093",California,Siskiyou ,43962,455
"6,095",California,Solano ,453274,0
"6,097",California,Sonoma ,488345,0
"6,099",California,Stanislaus ,552710,0
"6,101",California,Sutter ,99480,"4,191"
"6,103",California,Tehama ,65615,"1,275"
"6,105",California,Trinity ,16088,39
"6,107",California,Tulare ,473736,0
"6,109",California,Tuolumne ,55516,749
"6,111",California,Ventura ,842921,0
"6,113",California,Yolo ,216255,"10,125"
"6,115",California,Yuba ,81932,"2,062"
"8,001",Colorado,Adams ,520163,0
"8,003",Colorado,Alamosa ,16362,"2,627"
"8,005",Colorado,Arapahoe ,655112,0
"8,007",Colorado,Archuleta ,13424,144
"8,009",Colorado,Baca ,3486,182
"8,011",Colorado,Bent ,5635,56
"8,013",Colorado,Boulder ,330811,0
"8,014",Colorado,Broomfield ,74513,"4,241"
"8,015",Colorado,Chaffee ,19571,"1,161"
"8,017",Colorado,Cheyenne ,1736,65
"8,019",Colorado,Clear Creek ,9404,269
"8,021",Colorado,Conejos ,7464,209
"8,023",Colorado,Costilla ,3506,286
"8,025",Colorado,Crowley ,5893,921
"8,027",Colorado,Custer ,4712,41
