STATE,COUNTY,FIPS,SVI,cases
Alabama,Autauga,"1,001",0.513,"8,443"
Alabama,Baldwin,"1,003",0.3103,"5,248"
Alabama,Barbour,"1,005",0.9927,"4,861"
Alabama,Bibb,"1,007",0.8078,"2,696"
Alabama,Blount,"1,009",0.5137,"3,617"
Alabama,Bullock,"1,011",0.831,"4,898"
Alabama,Butler,"1,013",0.6843,"8,329"
Alabama,Calhoun,"1,015",0.7349,"5,601"
Alabama,Chambers,"1,017",0.8074,"8,634"
Alabama,Cherokee,"1,019",0.3269,"1,449"
Alabama,Chilton,"1,021",0.7222,"3,758"
Alabama,Choctaw,"1,023",0.7116,"2,663"
Alabama,Clarke,"1,025",0.8552,"3,825"
Alabama,Clay,"1,027",0.5309,966
Alabama,Cleburne,"1,029",0.4542,525
Alabama,Coffee,"1,031",0.6489,"5,271"
Alabama,Colbert,"1,033",0.3475,"6,004"
Alabama,Conecuh,"1,035",0.6575,"2,869"
Alabama,Coosa,"1,037",0.436,801
Alabama,Covington,"1,039",0.7075,"5,213"
Alabama,Crenshaw,"1,041",0.6025,"1,712"
Alabama,Cullman,"1,043",0.5156,"6,913"
Alabama,Dale,"1,045",0.8065,"4,406"
Alabama,Dallas,"1,047",0.9157,"8,200"
Alabama,DeKalb,"1,049",0.7387,"8,766"
Alabama,Elmore,"1,051",0.4564,"6,496"
Alabama,Escambia,"1,053",0.8708,"5,490"
Alabama,Etowah,"1,055",0.6483,"8,051"
Alabama,Fayette,"1,057",0.6725,"1,032"
Alabama,Franklin,"1,059",0.7298,"11,925"
Alabama,Geneva,"1,061",0.5691,"1,148"
Alabama,Greene,"1,063",0.9513,"2,468"
Alabama,Hale,"1,065",0.9351,"4,346"
Alabama,Henry,"1,067",0.5646,"1,868"
Alabama,Houston,"1,069",0.7021,"7,234"
Alabama,Jackson,"1,071",0.5528,"4,583"
Alabama,Jefferson,"1,073",0.7562,0
Alabama,Lamar,"1,075",0.5519,"1,077"
Alabama,Lauderdale,"1,077",0.4745,"6,923"
Alabama,Lawrence,"1,079",0.4239,"1,587"
Alabama,Lee,"1,081",0.6795,0
Alabama,Limestone,"1,083",0.4602,"7,272"
Alabama,Lowndes,"1,085",0.8997,"6,249"
Alabama,Macon,"1,087",0.8896,"2,700"
Alabama,Madison,"1,089",0.3596,0
Alabama,Marengo,"1,091",0.8113,"4,281"
Alabama,Marion,"1,093",0.6833,"3,343"
Alabama,Marshall,"1,095",0.6222,0
Alabama,Mobile,"1,097",0.7947,0
Alabama,Monroe,"1,099",0.7241,"3,229"
Alabama,Montgomery,"1,101",0.9032,0
Alabama,Morgan,"1,103",0.6413,0
