fips,weightedAverage,cases,county,state,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
"1,001",3.003,"8,443",Autauga,Alabama,0.053,0.074,0.134,0.295,0.444
"1,003",2.968,"5,248",Baldwin,Alabama,0.083,0.059,0.098,0.323,0.436
"1,005",2.928,"4,861",Barbour,Alabama,0.067,0.121,0.12,0.201,0.491
"1,007",3.348,"2,696",Bibb,Alabama,0.02,0.034,0.096,0.278,0.572
"1,009",2.892,"3,617",Blount,Alabama,0.053,0.114,0.18,0.194,0.459
"1,011",3.186,"4,898",Bullock,Alabama,0.031,0.04,0.144,0.286,0.5
"1,013",2.782,"8,329",Butler,Alabama,0.102,0.053,0.257,0.137,0.451
"1,015",2.637,"5,601",Calhoun,Alabama,0.152,0.108,0.13,0.167,0.442
"1,017",2.985,"8,634",Chambers,Alabama,0.117,0.037,0.15,0.136,0.56
"1,019",2.903,"1,449",Cherokee,Alabama,0.135,0.027,0.161,0.158,0.52
"1,021",3.24,"3,758",Chilton,Alabama,0.06,0.07,0.058,0.194,0.618
"1,023",3.219,"2,663",Choctaw,Alabama,0.049,0.038,0.126,0.219,0.568
"1,025",2.94,"3,825",Clarke,Alabama,0.049,0.088,0.164,0.268,0.43
"1,027",2.371,966,Clay,Alabama,0.148,0.158,0.195,0.169,0.329
"1,029",2.524,525,Cleburne,Alabama,0.151,0.125,0.138,0.217,0.368
"1,031",2.762,"5,271",Coffee,Alabama,0.101,0.152,0.094,0.186,0.466
"1,033",2.917,"6,004",Colbert,Alabama,0.082,0.096,0.152,0.159,0.51
"1,035",2.742,"2,869",Conecuh,Alabama,0.099,0.052,0.259,0.192,0.399
"1,037",2.79,801,Coosa,Alabama,0.055,0.131,0.167,0.263,0.384
"1,039",2.413,"5,213",Covington,Alabama,0.187,0.128,0.129,0.201,0.356
"1,041",2.852,"1,712",Crenshaw,Alabama,0.06,0.091,0.199,0.233,0.416
"1,043",2.689,"6,913",Cullman,Alabama,0.13,0.024,0.249,0.217,0.379
"1,045",2.849,"4,406",Dale,Alabama,0.089,0.113,0.118,0.22,0.46
"1,047",2.88,"8,200",Dallas,Alabama,0.095,0.1,0.159,0.122,0.524
"1,049",3.12,"8,766",DeKalb,Alabama,0.084,0.051,0.106,0.179,0.58
"1,051",3.045,"6,496",Elmore,Alabama,0.042,0.095,0.127,0.252,0.485
"1,053",2.805,"5,490",Escambia,Alabama,0.114,0.026,0.188,0.285,0.387
"1,055",2.829,"8,051",Etowah,Alabama,0.096,0.103,0.178,0.122,0.501
"1,057",2.765,"1,032",Fayette,Alabama,0.138,0.048,0.151,0.233,0.429
"1,059",2.921,"11,925",Franklin,Alabama,0.065,0.071,0.223,0.156,0.484
"1,061",2.563,"1,148",Geneva,Alabama,0.176,0.131,0.089,0.158,0.445
"1,063",3.3,"2,468",Greene,Alabama,0.03,0.053,0.127,0.167,0.623
"1,065",3.358,"4,346",Hale,Alabama,0.026,0.061,0.084,0.191,0.639
"1,067",2.934,"1,868",Henry,Alabama,0.066,0.068,0.17,0.258,0.438
"1,069",2.885,"7,234",Houston,Alabama,0.085,0.079,0.135,0.268,0.433
"1,071",2.896,"4,583",Jackson,Alabama,0.092,0.089,0.11,0.249,0.46
"1,073",3.3,0,Jefferson,Alabama,0.049,0.037,0.107,0.179,0.628
"1,075",2.984,"1,077",Lamar,Alabama,0.107,0.045,0.132,0.189,0.527
"1,077",2.814,"6,923",Lauderdale,Alabama,0.093,0.119,0.141,0.179,0.469
"1,079",2.685,"1,587",Lawrence,Alabama,0.162,0.08,0.088,0.251,0.419
"1,081",3.137,0,Lee,Alabama,0.053,0.064,0.138,0.183,0.562
"1,083",2.888,"7,272",Limestone,Alabama,0.102,0.034,0.133,0.336,0.395
"1,085",2.816,"6,249",Lowndes,Alabama,0.12,0.073,0.145,0.199,0.464
"1,087",3.211,"2,700",Macon,Alabama,0.008,0.033,0.241,0.172,0.545
"1,089",3.183,0,Madison,Alabama,0.062,0.05,0.123,0.177,0.589
"1,091",2.993,"4,281",Marengo,Alabama,0.033,0.151,0.118,0.186,0.512
"1,093",2.589,"3,343",Marion,Alabama,0.129,0.064,0.246,0.207,0.353
"1,095",2.997,0,Marshall,Alabama,0.075,0.064,0.129,0.253,0.479
"1,097",3.03,0,Mobile,Alabama,0.077,0.07,0.102,0.244,0.506
"1,099",2.781,"3,229",Monroe,Alabama,0.112,0.041,0.182,0.288,0.378
"1,101",3.029,0,Montgomery,Alabama,0.056,0.095,0.123,0.212,0.513
"1,103",2.989,0,Morgan,Alabama,0.078,0.077,0.082,0.304,0.459
"1,105",3.291,"2,642",Perry,Alabama,0.025,0.084,0.087,0.187,0.618
"1,107",3.205,"3,266",Pickens,Alabama,0.031,0.06,0.169,0.157,0.584
"1,109",2.74,"5,947",Pike,Alabama,0.06,0.131,0.145,0.333,0.33
"1,111",2.34,"3,046",Randolph,Alabama,0.158,0.226,0.105,0.144,0.368
"1,113",3.146,"8,057",Russell,Alabama,0.069,0.067,0.08,0.213,0.57
"1,115",3.002,"6,089",St. Clair,Alabama,0.027,0.134,0.144,0.2,0.495
"1,117",3.211,0,Shelby,Alabama,0.022,0.075,0.118,0.24,0.545
"1,119",3.143,"3,756",Sumter,Alabama,0.055,0.068,0.118,0.197,0.562
"1,121",2.517,"4,708",Talladega,Alabama,0.113,0.15,0.208,0.169,0.361
"1,123",2.879,"8,039",Tallapoosa,Alabama,0.067,0.095,0.136,0.296,0.406
"1,125",3.193,0,Tuscaloosa,Alabama,0.041,0.036,0.144,0.247,0.532
"1,127",2.855,"5,670",Walker,Alabama,0.09,0.081,0.145,0.256,0.429
"1,129",3.182,"1,671",Washington,Alabama,0.018,0.077,0.102,0.307,0.495
"1,131",2.877,"3,911",Wilcox,Alabama,0.061,0.098,0.199,0.187,0.455
"1,133",2.499,"3,646",Winston,Alabama,0.13,0.046,0.328,0.183,0.312
"2,013",3.252,26,Aleutians East Borough,Alaska,0.067,0.032,0.034,0.316,0.551
"2,016",3.198,72,Aleutians West Census Area,Alaska,0.078,0.031,0.03,0.337,0.524
"2,020",3.388,"8,669",Anchorage,Alaska,0.042,0.05,0.049,0.196,0.663
"2,050",3.052,183,Bethel Census Area,Alaska,0.101,0.022,0.014,0.45,0.413
"2,068",3.15,13,Denali Borough,Alaska,0.062,0.081,0.067,0.225,0.565
"2,070",3.188,272,Dillingham Census Area,Alaska,0.072,0.025,0.027,0.391,0.484
"2,090",2.788,"2,764",Fairbanks North Star Borough,Alaska,0.094,0.084,0.175,0.234,0.413
"2,100",2.961,78,Haines Borough,Alaska,0.055,0.05,0.123,0.419,0.352
"2,110",2.933,682,Juneau City and Borough,Alaska,0.051,0.067,0.133,0.396,0.353
"2,122",3.388,"2,569",Kenai Peninsula Borough,Alaska,0.043,0.047,0.051,0.197,0.662
"2,130",2.849,405,Ketchikan Gateway Borough,Alaska,0.025,0.149,0.174,0.256,0.396
"2,150",3.372,128,Kodiak Island Borough,Alaska,0.042,0.043,0.049,0.233,0.633
"2,158",2.987,19,Kusilvak Census Area,Alaska,0.103,0.022,0.007,0.521,0.347
"2,170",3.381,"1,680",Matanuska-Susitna Borough,Alaska,0.042,0.051,0.048,0.198,0.66
"2,180",2.911,171,Nome Census Area,Alaska,0.086,0.061,0.009,0.544,0.3
"2,185",2.994,57,North Slope Borough,Alaska,0.036,0.059,0.235,0.215,0.455
"2,188",2.72,74,Northwest Arctic Borough,Alaska,0.035,0.188,0.051,0.474,0.252
"2,195",2.898,93,Petersburg Borough,Alaska,0.042,0.095,0.148,0.349,0.365
"2,198",2.867,39,Prince of Wales-Hyder Census Area,Alaska,0.033,0.125,0.161,0.3,0.38
"2,220",2.922,234,Sitka City and Borough,Alaska,0.048,0.077,0.137,0.381,0.357
"2,240",2.979,233,Southeast Fairbanks Census Area,Alaska,0.064,0.071,0.14,0.272,0.453
"2,261",3.396,379,Valdez-Cordova Census Area,Alaska,0.04,0.049,0.052,0.197,0.663
"2,275",2.871,104,Wrangell City and Borough,Alaska,0.035,0.119,0.16,0.312,0.374
"2,290",3.006,85,Yukon-Koyukuk Census Area,Alaska,0.044,0.047,0.126,0.425,0.358
"4,001",3.379,0,Apache,Arizona,0.055,0.063,0.031,0.15,0.701
"4,003",3.225,"7,494",Cochise,Arizona,0.053,0.025,0.147,0.194,0.581
"4,005",3.358,0,Coconino,Arizona,0.039,0.08,0.07,0.11,0.702
"4,007",3.27,"5,018",Gila,Arizona,0.073,0.014,0.03,0.336,0.547
"4,009",2.9,"2,206",Graham,Arizona,0.095,0.067,0.237,0.049,0.553
"4,011",2.866,341,Greenlee,Arizona,0.111,0.089,0.167,0.089,0.544
"4,012",3.187,"4,948",La Paz,Arizona,0.031,0.064,0.162,0.173,0.57
"4,013",3.553,0,Maricopa,Arizona,0.023,0.025,0.059,0.158,0.734
"4,015",3.136,0,Mohave,Arizona,0.051,0.096,0.104,0.164,0.585
"4,017",3.051,0,Navajo,Arizona,0.091,0.108,0.059,0.139,0.602
"4,019",3.569,0,Pima,Arizona,0.023,0.024,0.073,0.121,0.759
"4,021",3.359,0,Pinal,Arizona,0.033,0.055,0.096,0.148,0.667
"4,023",3.688,0,Santa Cruz,Arizona,0.028,0.002,0.058,0.074,0.837
"4,025",3.319,"5,496",Yavapai,Arizona,0.031,0.073,0.081,0.176,0.639
"4,027",3.708,0,Yuma,Arizona,0.008,0.013,0.046,0.129,0.804
"5,001",3.217,610,Arkansas,Arkansas,0.019,0.073,0.134,0.216,0.557
"5,003",3.16,"1,170",Ashley,Arkansas,0.023,0.103,0.163,0.117,0.595
"5,005",2.768,346,Baxter,Arkansas,0.15,0.104,0.108,0.104,0.534
"5,007",3.252,0,Benton,Arkansas,0.081,0.034,0.083,0.16,0.643
"5,009",2.62,506,Boone,Arkansas,0.129,0.145,0.122,0.189,0.416
"5,011",2.784,828,Bradley,Arkansas,0.094,0.102,0.175,0.184,0.445
"5,013",2.597,28,Calhoun,Arkansas,0.145,0.132,0.108,0.211,0.404
"5,015",2.993,"2,679",Carroll,Arkansas,0.111,0.068,0.115,0.129,0.577
"5,017",2.875,"2,475",Chicot,Arkansas,0.104,0.074,0.193,0.097,0.531
"5,019",3.016,841,Clark,Arkansas,0.08,0.091,0.08,0.231,0.518
"5,021",2.744,953,Clay,Arkansas,0.082,0.124,0.157,0.242,0.395
"5,023",3.212,"1,559",Cleburne,Arkansas,0.036,0.065,0.093,0.259,0.546
"5,025",2.931,413,Cleveland,Arkansas,0.107,0.03,0.16,0.231,0.472
"5,027",2.462,"1,273",Columbia,Arkansas,0.241,0.072,0.054,0.25,0.383
"5,029",2.735,"1,047",Conway,Arkansas,0.071,0.12,0.137,0.347,0.325
"5,031",2.702,"6,641",Craighead,Arkansas,0.078,0.123,0.138,0.341,0.32
"5,033",2.535,"3,097",Crawford,Arkansas,0.155,0.1,0.167,0.211,0.367
"5,035",3.187,"10,474",Crittenden,Arkansas,0.059,0.017,0.11,0.306,0.508
"5,037",2.916,"1,209",Cross,Arkansas,0.097,0.017,0.163,0.319,0.404
"5,039",2.665,138,Dallas,Arkansas,0.197,0.055,0.093,0.196,0.459
"5,041",3.016,901,Desha,Arkansas,0.078,0.033,0.19,0.189,0.509
"5,043",3.032,"1,066",Drew,Arkansas,0.063,0.049,0.207,0.159,0.523
"5,045",3.094,"8,667",Faulkner,Arkansas,0.066,0.027,0.077,0.403,0.426
"5,047",2.49,369,Franklin,Arkansas,0.149,0.079,0.245,0.187,0.34
"5,049",2.568,212,Fulton,Arkansas,0.105,0.121,0.226,0.197,0.351
"5,051",3.252,"3,935",Garland,Arkansas,0.025,0.102,0.068,0.21,0.596
"5,053",3.027,662,Grant,Arkansas,0.082,0.043,0.127,0.258,0.489
"5,055",2.675,"1,754",Greene,Arkansas,0.062,0.141,0.154,0.346,0.297
"5,057",3.018,912,Hempstead,Arkansas,0.098,0.073,0.096,0.179,0.554
"5,059",3.132,"5,778",Hot Spring,Arkansas,0.059,0.086,0.079,0.216,0.56
"5,061",3.035,"1,534",Howard,Arkansas,0.081,0.07,0.145,0.145,0.56
"5,063",2.629,851,Independence,Arkansas,0.137,0.156,0.088,0.179,0.44
"5,065",2.797,313,Izard,Arkansas,0.086,0.121,0.133,0.23,0.43
"5,067",2.782,470,Jackson,Arkansas,0.116,0.103,0.135,0.179,0.468
"5,069",3.207,"10,388",Jefferson,Arkansas,0.042,0.036,0.172,0.173,0.577
"5,071",2.488,"4,130",Johnson,Arkansas,0.144,0.103,0.205,0.221,0.328
"5,073",2.884,312,Lafayette,Arkansas,0.12,0.082,0.078,0.234,0.486
"5,075",2.676,"1,413",Lawrence,Arkansas,0.085,0.128,0.153,0.298,0.337
"5,077",2.839,"10,505",Lee,Arkansas,0.103,0.032,0.195,0.263,0.407
"5,079",3.223,0,Lincoln,Arkansas,0.035,0.016,0.194,0.201,0.554
"5,081",2.932,540,Little River,Arkansas,0.074,0.121,0.106,0.201,0.499
"5,083",2.695,879,Logan,Arkansas,0.148,0.11,0.12,0.143,0.479
"5,085",3.104,"2,356",Lonoke,Arkansas,0.048,0.045,0.136,0.297,0.474
"5,087",3.004,"2,750",Madison,Arkansas,0.075,0.088,0.159,0.114,0.564
"5,089",2.634,160,Marion,Arkansas,0.171,0.112,0.119,0.108,0.49
"5,091",2.941,"2,858",Miller,Arkansas,0.064,0.124,0.106,0.219,0.487
"5,093",2.989,"3,378",Mississippi,Arkansas,0.033,0.109,0.134,0.284,0.44
"5,095",2.819,242,Monroe,Arkansas,0.068,0.128,0.127,0.271,0.406
"5,097",2.949,85,Montgomery,Arkansas,0.081,0.095,0.136,0.166,0.521
"5,099",2.892,"1,385",Nevada,Arkansas,0.143,0.048,0.084,0.224,0.501
"5,101",2.723,105,Newton,Arkansas,0.107,0.14,0.084,0.261,0.408
"5,103",2.739,358,Ouachita,Arkansas,0.151,0.097,0.06,0.242,0.449
"5,105",2.928,436,Perry,Arkansas,0.098,0.051,0.08,0.367,0.404
"5,107",3.065,"2,136",Phillips,Arkansas,0.052,0.061,0.134,0.276,0.477
"5,109",2.993,192,Pike,Arkansas,0.064,0.061,0.2,0.176,0.501
"5,111",2.829,869,Poinsett,Arkansas,0.077,0.098,0.141,0.287,0.397
"5,113",2.526,"1,067",Polk,Arkansas,0.18,0.08,0.217,0.076,0.446
"5,115",2.576,"7,373",Pope,Arkansas,0.082,0.151,0.181,0.285,0.302
"5,117",2.759,334,Prairie,Arkansas,0.062,0.17,0.103,0.273,0.391
"5,119",3.38,0,Pulaski,Arkansas,0.028,0.027,0.126,0.175,0.644
