State,Population,cases
Alabama,5024803,267418
Alaska,716184,18650
Arizona,7177986,25503
Arkansas,3012232,171508
California,39491080,86391
Colorado,5780518,86581
Connecticut,3600260,20155
Delaware,991886,0
District of Columbia,690093,0
Florida,21569932,184569
Georgia,10725800,442256
Hawaii,1451829,14111
Idaho,1844403,54500
Illinois,12785245,121152
Indiana,6785644,245319
Iowa,3188669,169381
Kansas,2929667,58518
Kentucky,4503958,136168
Louisiana,4651203,219137
Maine,1362280,21145
Maryland,6172679,53528
Massachusetts,7022220,22630
Michigan,10067664,142540
Minnesota,5703405,138895
Mississippi,2956870,313841
Missouri,6154481,136052
Montana,1043844,18977
Nebraska,1948870,78056
Nevada,3113341,12164
New Hampshire,1377848,14005
New Jersey,9279743,19995
New Mexico,2115888,50118
New York,11381955,114520
North Carolina,10457177,307838
North Dakota,776774,21393
Ohio,11790587,196587
Oklahoma,3962031,100503
Oregon,4240087,58988
Pennsylvania,12989625,136646
Rhode Island,1096229,14593
South Carolina,5130729,156627
South Dakota,883311,46079
Tennessee,6920119,204852
Texas,29214047,432613
Utah,6552843,34759
Vermont,642495,16380
Virginia,8632044,262349
Washington,7718785,69666
West Virginia,1782012,48292
Wisconsin,5892323,112073
Wyoming,577267,22617
